"Timestamp","What is your age?","What is your level of education? (or currently pursuing)?","What is your Ethnicity?","What is your favorite sport to watch?","Which days of the week do you most often watch this sport? ","What time of day do you usually watch?","Where do you usually watch?","Why is that your favorite sport to watch?","Why do you usually watch on that day?","Why do you watch at that place?"
"2024/01/23 6:15:54 PM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Evening","At home","Most interesting","Most time to watch during this day","Spend most of my time there"
"2024/01/23 6:18:06 PM EST","10-19","High School or GED","White","Basketball","Weekend","Night","At home","Most interesting","Most time to watch during this day","Spend most of my time there"
"2024/01/23 6:18:25 PM EST","10-19","Bachelor Degree","White","Basketball","Weekend","Night","At home","Grew up watching","Most time to watch during this day","Relaxing"
"2024/01/23 6:18:32 PM EST","10-19","Bachelor Degree","African American","Football","Weekend","Evening","Friend's house","Family members watch","Most games during this day","More fun"
"2024/01/23 6:18:32 PM EST","40+","Masters or Doctorate","White","Basketball","Weekend","Evening","At home","Used to play","Tradition","Spend most of my time there"
"2024/01/23 6:18:39 PM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Evening","At home","Most interesting","Most time to watch during this day","Relaxing"
"2024/01/23 6:18:41 PM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Afternoon","At home","Used to play","Most games during this day","Spend most of my time there"
"2024/01/23 6:19:08 PM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Night","At home","Most interesting","Most time to watch during this day","Spend most of my time there"
"2024/01/23 6:20:10 PM EST","40+","Masters or Doctorate","White","Football","Weekend","Afternoon","At home","Grew up watching","Most games during this day","Relaxing"
"2024/01/23 6:21:59 PM EST","40+","Masters or Doctorate","White","Basketball","Weekend","Evening","At home","Grew up watching","Most games during this day","Relaxing"
"2024/01/23 6:22:23 PM EST","10-19","High School or GED","White","Basketball","Weekend","Afternoon","At home","Used to play","Most games during this day","Relaxing"
"2024/01/23 6:22:25 PM EST","20-25","Bachelor Degree","African American","Fencing ","Weekend","Afternoon","School","Most interesting","Tradition","Relaxing"
"2024/01/23 6:22:50 PM EST","40+","Associate Degree","White","Basketball","Weekend","Afternoon","At home","Family members watch","Most games during this day","Spend most of my time there"
"2024/01/23 6:22:50 PM EST","20-25","High School or GED","African American","Basketball","Wednesday","Night","At home","Grew up watching","Most games during this day","More fun"
"2024/01/23 6:23:13 PM EST","10-19","High School or GED","Australian","Underwater golf basketball","Tuesday","Morning","At the Krusty krab","Idk tbh","Tradition","Because"
"2024/01/23 6:23:17 PM EST","26-30","Masters or Doctorate","White","Football","Weekend","Evening","At home","Most interesting","Most games during this day","Spend most of my time there"
"2024/01/23 6:28:23 PM EST","20-25","Associate Degree","White","Basketball","Weekend","Night","At home","Used to play","Most games during this day","Spend most of my time there"
"2024/01/23 6:34:21 PM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Night","At home","Used to play","Most time to watch during this day","Spend most of my time there"
"2024/01/23 6:39:08 PM EST","10-19","Bachelor Degree","White","Basketball","Weekend","Night","Friend's house","Used to play","Most time to watch during this day","More fun"
"2024/01/23 6:40:52 PM EST","20-25","Bachelor Degree","White","Football","Weekend","Afternoon","At home","Grew up watching","Most games during this day","Spend most of my time there"
"2024/01/23 6:42:18 PM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Night","At home","Grew up watching","Most games during this day","Relaxing"
"2024/01/23 6:45:48 PM EST","20-25","Masters or Doctorate","White","Football","Weekend","Afternoon","At home","Grew up watching","Most games during this day","Spend most of my time there"
"2024/01/23 6:52:20 PM EST","40+","Bachelor Degree","White","Baseball","Weekend","Evening","At home","Grew up watching","Most games during this day","Relaxing"
"2024/01/23 7:02:42 PM EST","20-25","Bachelor Degree","White","Football","Weekend","Evening","At home","Most interesting","Most time to watch during this day","Relaxing"
"2024/01/23 7:13:19 PM EST","10-19","Masters or Doctorate","White","Basketball","Weekend","Evening","At home","Used to play","Most time to watch during this day","Spend most of my time there"
"2024/01/23 11:14:11 PM EST","10-19","Bachelor Degree","White","Football","Weekend","Afternoon","Friend's house","Most interesting","Most games during this day","More fun"
"2024/01/24 8:53:22 AM EST","20-25","Bachelor Degree","White","Basketball","Weekend","Night","At the event","Most interesting","Most games during this day","Spend most of my time there"